Black-bellied Whistling-Duck,			Black-bellied Whistling Duck
Fulvous Whistling-Duck,				Fulvous Whistling Duck
Ring-necked Pheasant,				Common Pheasant
Brant,						Brant Goose
Herring Gull,					American Herring Gull
Fork-tailed Storm-Petrel,			Fork-tailed Storm Petrel
Florida Scrub-Jay,				Florida Scrub Jay
California Scrub-Jay,				California Scrub Jay
Woodhouse's Scrub-Jay,				Woodhouse's Scrub Jay
Common Raven,					Northern Raven
White-winged Crossbill,				Two-barred Crossbill
Chukar,						Chukar Partridge
Greater Sage-Grouse,				Sage Grouse
Gunnison Sage-Grouse,				Gunnison Grouse
Wilson's Storm-Petrel,				Wilson's Storm Petrel
White Ibis,					American White Ibis
Painted Redstart,				Painted Whitestart
European Storm-Petrel,				European Storm Petrel
Eared Grebe,					Black-necked Grebe
Square-tailed Drongo,				Common Square-tailed Drongo
American Pipit,					Buff-bellied Pipit
Black-crowned Night-Heron,			Black-crowned Night Heron
Yellow-crowned Night-Heron,			Yellow-crowned Night Heron
Cattle Egret,					Western Cattle Egret
Osprey,						Western Osprey
Rough-legged Hawk,				Rough-legged Buzzard
Eurasian Moorhen,				Common Moorhen
Rock Pigeon,					Rock Dove
Black-bellied Plover,				Grey Plover
American Golden-Plover,				American Golden Plover
Dovekie,					Little Auk
African Collared-Dove,				African Collared Dove
Eurasian Collared-Dove,				Eurasian Collared Dove
Barn Owl,					American Barn Owl
Eastern Screech-Owl,				Eastern Screech Owl
Western Screech-Owl,				Western Screech Owl
Crimson-fronted Parakeet,			Finsch's Parakeet
Western Wood-Pewee,				Western Wood Pewee
Eastern Wood-Pewee,				Eastern Wood Pewee
Bank Swallow,					Sand Martin
Cliff Swallow,					American Cliff Swallow
Bushtit,					American Bushtit
European Starling,				Common Starling
Fox Sparrow,					Red Fox Sparrow
Black-crowned Palm-Tanager,			Black-crowned Tanager
Yellow Warbler,					Mangrove Warbler
Yellow-rumped Warbler,				Myrtle Warbler
Tundra Bean-Goose,				Tundra Bean Goose
Taiga Bean-Goose,				Taiga Bean Goose
Hoary Redpoll,					Arctic Redpoll
Whimbrel,					Eurasian Whimbrel
Grayish Saltator,				Blue-grey Saltator
Red-crowned Parrot,				Red-crowned Amazon
Lucifer Hummingbird,				Lucifer Sheartail
Blue-throated Mountain-gem,			Blue-throated Mountaingem
Northern Beardless-Tyrannulet,			Northern Beardless Tyrannulet
Northern Pygmy-Owl,				Northern Pygmy Owl
