,,IOC WORLD BIRD LIST (11.2)  http://dx.doi.org/10.14344/IOC.ML.11.2,,,,,,,,,,,,
,,"Gill, F, D Donsker, and P Rasmussen (Eds). 2021. IOC World Bird List (v 11.2). Doi 10.14344/IOC.ML.11.2.  http://www.worldbirdnames.org/",,,,,,,,,,,,
,,44,252,,2372,11072,19889,,,,,,,
Infraclass,Parvclass,Order,Family (Scientific),Family (English),Genus,Species (Scientific),Subspecies,Authority,Species (English),Breeding Range,Breeding Range-Subregion(s),Nonbreeding  Range,Code,Comment
PALAEOGNATHAE,,,,RATITES,,,,,,,,,,
,,STRUTHIONIFORMES,,,,,,,,,,,PHY,The ratites (paleognaths) are the sister group to the rest of living birds (neognaths).
,,,Struthionidae,Ostriches,,,,,,,,,,
,,,,,Struthio,,,"Linnaeus, 1758",,,,,,
,,,,,,camelus,,"Linnaeus, 1758",Common Ostrich,AF,"w, c, e, sw",,TAX,See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations.
,,,,,,,syriacus †,"Rothschild, 1919",,,Syrian and Arabian deserts,,,
,,,,,,,camelus,"Linnaeus, 1758",,,"s Morocco and Mauritania to s Egypt, Eritrea and n, w Ethiopia, s to Cameroon and n Uganda",,,
,,,,,,,massaicus,"Neumann, 1898",,,s Kenya and c Tanzania,,,
,,,,,,,australis,"Gurney Sr, 1868",,,s Africa,,,
,,,,,,molybdophanes,,"Reichenow, 1883",Somali Ostrich,AF,Somalia and n Kenya,,AS,Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011).
,,RHEIFORMES,,,,,,,,,,,,
,,,Rheidae,Rheas,,,,,,,,,,
,,,,,Rhea,,,"Brisson, 1760",,,,,,
,,,,,,americana,,"(Linnaeus, 1758)",Greater Rhea,SA,se,,,
,,,,,,,americana,"(Linnaeus, 1758)",,,"n, e Brazil",,,
,,,,,,,intermedia,"Rothschild & Chubb, C, 1914",,,se Brazil and Uruguay,,,
,,,,,,,nobilis,"Brodkorb, 1939",,,e Paraguay,,,
,,,,,,,araneipes,"Brodkorb, 1938",,,"sw Brazil, e Bolivia and w Paraguay",,,
,,,,,,,albescens,"Lynch & Holmberg, 1878",,,"ne, e Argentina",,,
,,,,,,pennata,,"d'Orbigny, 1837",Lesser Rhea,SA,Southern Cone,,"TAX, ENG",Pterocnemia merged into Rhea (SACC 348); change English name to Lesser Rhea to conform to general usage.
,,,,,,,garleppi,"(Chubb, C, 1913)",,,"se Peru, sw Bolivia and nw Argentina",,,
,,,,,,,tarapacensis,"(Chubb, C, 1913)",,,n Chile,,,
,,,,,,,pennata,"d'Orbigny, 1837",,,"s Chile and wc, s Argentina",,,
,,APTERYGIFORMES,,,,,,,,,,,,
